"pointspread" "score1" "score2" "scorediff" "loc"
-12 62 54 -8 "H"
-5.5 65 59 -6 "V"
-4 50 54 4 "V"
-1 52 62 10 "H"
-7.5 68 50 -18 "H"
-4 55 62 7 "H"
-1 66 73 7 "V1"
3 41 62 21 "V"
-7.5 61 56 -5 "H"
10.5 51 67 16 "V"
-12.5 61 53 -8 "H1"
-3 61 44 -17 "N"
4.5 43 62 19 "N"
3 63 67 4 "N"
-11 72 55 -17 "V"
11.5 49 57 8 "N"
-1.5 69 48 -21 "N"
-12.5 59 44 -15 "N"
-4 61 73 12 "H"
-2.5 64 55 -9 "V"
5.5 54 66 12 "H"
-23 92 51 -41 "H"
-3 66 71 5 "H"
16 40 68 28 "V"
-1 59 44 -15 "H"
-7.5 60 44 -16 "H"
9.5 62 66 4 "V"
5 57 60 3 "V"
-11 77 70 -7 "H"
-6 63 60 -3 "H"
1 68 75 7 "V"
7.5 41 78 37 "V"
2 57 58 1 "H"
4 56 53 -3 "V"
6 43 45 2 "H"
6 59 72 13 "V"
3.5 59 68 9 "H"
0 61 69 8 "V"
-4.5 61 68 7 "H"
13 49 62 13 "V"
1.5 69 73 4 "N"
-2.5 79 73 -6 "N1"
15.5 47 77 30 "V"
-6.5 67 55 -12 "H"
-15 71 69 -2 "N"
7 62 71 9 "V"
-2 69 63 -6 "V"
-4.5 78 73 -5 "H"
16 63 80 17 "VN"
7.5 53 87 34 "V"
14 57 87 30 "V"
1.5 55 72 17 "H"
13 50 74 24 "V"
2.5 60 50 -10 "H"
7.5 53 69 16 "V"
8.5 74 62 -12 "H"
-1 57 69 12 "V"
9 50 77 27 "V"
2 55 67 12 "H"
8 59 73 14 "V"
7.5 77 66 -11 "V"
2.5 66 60 -6 "H"
7.5 72 80 8 "H"
15 62 92 30 "V"
5 59 66 7 "H"
-7.5 88 67 -21 "H"
1.5 41 50 9 "H"
10 60 54 -6 "V"
6 60 87 27 "V"
4.5 59 82 23 "V"
-16 74 59 -15 "H"
-2 67 57 -10 "N"
5.5 60 58 -2 "N"
-2 81 74 -7 "N"
-10.5 89 74 -15 "H"
2 69 76 7 "V"
-4 70 61 -9 "H"
11 54 90 36 "V"
-1.5 50 43 -7 "V"
-17 98 51 -47 "H"
12 83 92 9 "V1"
-1.5 56 65 9 "V"
-8.5 66 60 -6 "H"
-3 75 78 3 "H"
4.5 54 64 10 "V"
3 58 49 -9 "V"
-4.5 75 54 -21 "H"
-6 81 71 -10 "H"
-4.5 55 58 3 "V"
6.5 48 47 -1 "V"
2 72 68 -4 "V"
2 71 58 -13 "H"
-7.5 62 63 1 "H1"
-12.5 60 50 -10 "H"
5 65 63 -2 "V"
4.5 46 62 16 "V"
-3.5 76 53 -23 "H"
-9.5 58 64 6 "H"
-5.5 74 68 -6 "N"
5 69 79 10 "N"
1 49 57 8 "N"
-8.5 72 65 -7 "H"
3 60 53 -7 "V"
6 73 55 -18 "V"
-14 85 69 -16 "H"
-9.5 79 72 -7 "H"
4 61 70 9 "V"
-1.5 55 64 9 "V"
-11 70 53 -17 "N"
-5.5 88 52 -36 "N"
-10.5 62 58 -4 "H"
-10.5 85 64 -21 "H"
5.5 72 79 7 "V1"
-10.5 79 40 -39 "H"
-4 66 61 -5 "H"
4.5 61 66 5 "V"
-7 74 63 -11 "V"
-9.5 77 57 -20 "H"
-10 65 46 -19 "H"
-6.5 73 69 -4 "V"
-5.5 66 60 -6 "H"
-3.5 89 86 -3 "V"
4 59 61 2 "V"
-6 82 91 9 "H"
-15 74 67 -7 "H"
1 65 78 13 "V"
-5 78 56 -22 "V"
-15.5 77 66 -11 "H"
-10 67 61 -6 "N"
4.5 65 75 10 "V"
3 84 72 -12 "N"
10.5 56 82 26 "VN"
-2 68 47 -21 "V"
-10.5 62 65 3 "H"
10 75 57 -18 "V"
2.5 59 79 20 "V"
-4.5 69 70 1 "H"
-6.5 69 58 -11 "H"
-2 67 58 -9 "V"
-7.5 63 66 3 "H"
-3.5 58 62 4 "V"
8.5 66 72 6 "V"
-13 57 60 3 "H"
-1.5 78 63 -15 "H"
-4 55 58 3 "V"
1.5 56 75 19 "V"
1.5 40 65 25 "H"
-7.5 58 41 -17 "H"
-4.5 59 46 -13 "H"
-7.5 58 61 3 "H"
7.5 51 56 5 "V"
-4 58 64 6 "V"
8 66 62 -4 "N"
-10.5 77 71 -6 "N"
-10 89 83 -6 "N2"
3.5 60 66 6 "N"
5 65 69 4 "N"
-9.5 57 49 -8 "H"
-16 88 73 -15 "H"
-7 61 53 -8 "H"
5.5 76 82 6 "V1"
-8.5 99 78 -21 "H"
8.5 65 58 -7 "V"
6.5 58 73 15 "H"
10.5 61 69 8 "V"
-8.5 66 54 -12 "H"
-1 82 79 -3 "V1"
-9.5 69 64 -5 "H1"
-2 65 71 6 "V"
-2.5 78 67 -11 "V"
4.5 66 58 -8 "H"
-4.5 61 70 9 "H"
1 73 66 -7 "H1"
-5 81 69 -12 "V"
1.5 78 79 1 "H2"
7.5 56 61 5 "V"
-3 51 65 14 "V"
-3.5 63 59 -4 "H1"
-5 63 55 -8 "H"
3.5 68 72 4 "H"
-5.5 64 68 4 "H"
21 40 73 33 "V"
11.5 53 64 11 "V"
-7.5 89 55 -34 "N"
-18 84 78 -6 "N"
10.5 55 66 11 "V"
28 47 88 41 "V"
2 58 67 9 "H"
7.5 66 63 -3 "V"
13 59 76 17 "V"
3 71 69 -2 "V"
4.5 65 67 2 "H"
-7.5 79 56 -23 "H"
5.5 68 61 -7 "V"
2.5 69 66 -3 "V"
-6 71 79 8 "H"
5.5 53 72 19 "H"
-4.5 65 84 19 "H"
1.5 70 79 9 "H"
2.5 62 76 14 "V"
13.5 56 65 9 "V"
-10.5 71 51 -20 "H"
-15.5 77 60 -17 "H"
1 84 74 -10 "N"
-10.5 87 73 -14 "N"
-13.5 70 83 13 "H"
-6 80 51 -29 "H"
-8 64 42 -22 "V"
